alco-soft,alco-soft-bw,alco,noalco-fruits-juices-j_sweet,noalco-fruits-juices-j_citric,noalco-fruits-solid-s_sweet,noalco-fruits-solid-s_citric,noalco-veggies,noalco-fruits-syrups-j_sweet,te-sweet,te,others,
kirsch,stout,white rum,pineapple juice,lemonade,strawberry,lemon,lemongrass,syrup,sugar,anise basil,ice cube,
cremant,beer,cognac,apricot juice,orange juice,apricot,raspberry,mint,passion fruit syrup,cane sugar,celery salt,sparkling water,
benedictine,champagne,vodka,apple juice,lime juice,currant,citrus fruit,coriander,grenadine,sour cream,pepper,ice cream,
malibu rum,dry white wine,martini,banana juice,grapefruit juice,pineapple,kiwi fruit,wasabi,currant syrup,brown sugar,milk,soda water,
pisang ambon,porto,whiskey,mango juice,cranberry juice,banana,orange,tomato,orgeat syrup,powdered sugar,salt,sparkling mineral water,
lemon liqueur,cava,rum,passion fruit juice,lemon juice,litchi,lime,cucumbers,grenadine,granulated sugar,coffee,worcestershire sauce,
apricot liqueur,prosecco,dark rum,coconut milk,,berry,lime zest,ginger,currant syrup,vanilla sugar,coca-cola,creme de cassis,
grand marnier,sparkling wine,white martini,tamarin juice,,melon,blood orange,,peach syrup,brown_sugar,rice milk,pistachio nut,
apple liqueur,vermouth,angostura bitter,litchi juice,,coconut,grapefruit,,cane sugar syrup,,schweppes,water,
pear liqueur,white wine,amber rum,berry juice,,apple,blackcurrant,,orange syrup,,mangalore,whole milk,
get_27,rice wine,campari,strawberry juice,,guava,kumquat,,strawberry syrup,,tabasco sauce,soft drink,
coffee liqueur,hard cider,triple sec,grape juice,,pineapple,lemon zest,,mint syrup,,light whipping cream,crushed ice,
,apple cider,red martini,guava juice,,pear,,,sangria syrup,,egg,,f
,blush wine,plum brandy,tomato juice,,lemon slice,,,lemon syrup,,cinnamon,,
,liqueur,calvados,manguo juice,,cherry,,,litchi liqueur,,nutmeg,,
,noilly prat,cachaca,pear juice,,clementine orange,,,currant syrup,,,,
,,blue curacao,manguo juice,,fruit,,,creme de cafe,,,,
,,cointreau,cherry juice,,,,,fruit syrup,,,,
,,gin,peach juice,,,,,peach syrup,,,,
,,tequila,multivitamin juice,,,,,orgeat,,,,
,,pastis,juice,,,,,,,,,
,,,peach juice,,,,,,,,,
